symbol,settle_date,contract_num,open,high,low,close,adj_close,volume,open_interest
CLF18,20160517,20,0.0,51.13,51.13,51.13,51.13,185,9583
CLF19,20160517,32,0.0,51.87,51.87,51.87,51.87,0,301
CLF20,20160517,44,0.0,52.79,52.79,52.79,52.79,0,0
CLF21,20160517,56,0.0,53.94,53.94,53.94,53.94,0,0
CLF17,20160518,8,50.6,51.07,50.1,50.57,50.57,4510,38188
CLF18,20160518,20,0.0,51.2,51.2,51.2,51.2,317,9761
CLF19,20160518,32,0.0,52.1,52.1,52.1,52.1,4,301
CLF20,20160518,44,0.0,53.15,53.15,53.15,53.15,0,0
CLF21,20160518,56,0.0,54.3,54.3,54.3,54.3,0,0
CLF17,20160519,8,49.63,50.44,49.14,50.42,50.42,6988,38403
CLF18,20160519,20,50.84,51.17,50.84,51.17,51.17,247,9697
